PSR 	 Edot (erg/s) 	 Age (year) 	 d (kpc) 	 gamma 	 E_cut 	 eta 	 etaEdot 	 E_max (GeV) 	 ReducedChi^2_Middle 	 ReducedChi2_po_Middle 	 reducedchi_2_combine_Middle
J0659+1414 	 3.8e+34 	 111000 	 0.286 	 1.18 	 141.94 	 0.99 	 3.77758e+34 	 2039.13 	 62.69 	 2125.45 	 479.7684
J1732-3131 	 1.5e+35 	 111000 	 0.64 	 1.67 	 435.05 	 0.99 	 1.48785e+35 	 2039.13 	 55.35 	 2006.13 	 449.8337
J0908-4913 	 4.9e+35 	 112000 	 1.0 	 1.74 	 762.66 	 0.99 	 4.85639e+35 	 2020.92 	 41.72 	 1812.78 	 399.9737
J0954-5430 	 1.6e+34 	 171000 	 0.433 	 1.64 	 915.00 	 1.00 	 1.5998399999999998e+34 	 1323.65 	 63.61 	 2172.89 	 490.0969
J1825-0935 	 4.5e+33 	 233000 	 0.3 	 1.77 	 299.23 	 0.99 	 4.4622e+33 	 971.43 	 65.93 	 2189.45 	 495.2742
J0942-5657 	 3e+33 	 323000 	 0.406 	 1.71 	 904.73 	 1.00 	 2.9982e+33 	 700.75 	 65.73 	 2193.07 	 495.8468
J0924-5302 	 3.4e+33 	 335000 	 0.513 	 1.63 	 841.25 	 1.00 	 3.3966e+33 	 675.65 	 65.54 	 2191.18 	 495.3182
J0633+1746 	 3.2e+34 	 342000 	 0.19 	 1.70 	 866.90 	 1.00 	 3.19904e+34 	 661.82 	 57.96 	 2042.07 	 459.1659
J1741-2054 	 9.5e+33 	 386000 	 0.3 	 1.58 	 105.35 	 0.99 	 9.409750000000001e+33 	 586.38 	 64.93 	 2122.15 	 480.8565
J1001-5507 	 6.9e+32 	 441000 	 0.3 	 1.21 	 41.81 	 0.99 	 6.804090000000001e+32 	 513.25 	 66.40 	 2198.00 	 497.3713
J1001-5507 	 6.9e+32 	 441000 	 0.3 	 1.21 	 41.81 	 0.99 	 6.804090000000001e+32 	 513.25 	 66.40 	 2198.00 	 497.3713
J0942-5552 	 3.1e+33 	 464000 	 0.3 	 1.46 	 573.16 	 1.00 	 3.08791e+33 	 487.81 	 65.22 	 2184.34 	 493.6852
J0942-5552 	 3.1e+33 	 464000 	 0.3 	 1.46 	 573.16 	 1.00 	 3.08791e+33 	 487.81 	 65.22 	 2184.34 	 493.6852
J1020-5921 	 8.4e+32 	 485000 	 0.938 	 1.57 	 152.13 	 0.82 	 6.88464e+32 	 466.69 	 66.37 	 2200.91 	 497.9383
J1020-5921 	 8.4e+32 	 485000 	 0.938 	 1.57 	 152.13 	 0.82 	 6.88464e+32 	 466.69 	 66.37 	 2200.91 	 497.9383
J0736-6304 	 5.2e+31 	 507000 	 0.104 	 1.12 	 36.53 	 0.98 	 5.1136800000000005e+31 	 446.44 	 66.50 	 2206.45 	 499.165
J0736-6304 	 5.2e+31 	 507000 	 0.104 	 1.12 	 36.53 	 0.98 	 5.1136800000000005e+31 	 446.44 	 66.50 	 2206.45 	 499.165
J1057-5226 	 3e+34 	 535000 	 0.093 	 1.72 	 773.06 	 0.98 	 2.9547e+34 	 423.07 	 56.90 	 1946.82 	 439.0375
J0357+3205 	 5.9e+33 	 540000 	 0.835 	 1.72 	 833.09 	 1.00 	 5.89941e+33 	 419.15 	 64.72 	 2161.84 	 488.729
